Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,ion
Na,Na,Ge,Br,Br,Br,Br,Na
Na,Na,Ge,Br,Br,Br,Br,Al
Na,Na,Ge,Br,Br,Br,Br,Ca
Na,Na,Ge,Br,Br,Br,Br,Mg
Na,Na,Ge,Br,Br,Br,Br,F
K,K,Ge,Br,Br,Br,Br,Li
K,K,Ge,Br,Br,Br,Br,Zn
K,K,Ge,Br,Br,Br,Br,K
K,K,Ge,Br,Br,Br,Br,Na
K,K,Ge,Br,Br,Br,Br,Al
K,K,Ge,Br,Br,Br,Br,Ca
K,K,Ge,Br,Br,Br,Br,Mg
K,K,Ge,Br,Br,Br,Br,F
Rb,Rb,Ge,Br,Br,Br,Br,Li
Rb,Rb,Ge,Br,Br,Br,Br,Zn
Rb,Rb,Ge,Br,Br,Br,Br,K
Rb,Rb,Ge,Br,Br,Br,Br,Na
Rb,Rb,Ge,Br,Br,Br,Br,Al
Rb,Rb,Ge,Br,Br,Br,Br,Ca
Rb,Rb,Ge,Br,Br,Br,Br,Mg
Rb,Rb,Ge,Br,Br,Br,Br,F
Cs,Cs,Ge,Br,Br,Br,Br,Li
Cs,Cs,Ge,Br,Br,Br,Br,Zn
Cs,Cs,Ge,Br,Br,Br,Br,K
Cs,Cs,Ge,Br,Br,Br,Br,Na
Cs,Cs,Ge,Br,Br,Br,Br,Al
Cs,Cs,Ge,Br,Br,Br,Br,Ca
Cs,Cs,Ge,Br,Br,Br,Br,Mg
Cs,Cs,Ge,Br,Br,Br,Br,F
Li,Li,Sn,Br,Br,Br,Br,Li
Li,Li,Sn,Br,Br,Br,Br,Zn
Li,Li,Sn,Br,Br,Br,Br,K
Li,Li,Sn,Br,Br,Br,Br,Na
Li,Li,Sn,Br,Br,Br,Br,Al
Li,Li,Sn,Br,Br,Br,Br,Ca
Li,Li,Sn,Br,Br,Br,Br,Mg
Li,Li,Sn,Br,Br,Br,Br,F
