,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7
437,167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
438,167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
439,167.0,167.0,112,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
440,76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
441,76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
442,76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
443,76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
444,76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
445,76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
446,76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
447,76.0,76.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
448,102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
449,102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
450,102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
451,102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
452,102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
453,102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
454,102.0,102.0,119,220.00000000000003,220.00000000000003,220.00000000000003,220.00000000000003
