Name,Ion,Adsorption energy(ev)
RbRbGeFFFBr,Zn2+,4.23710596
RbRbGeFFFBr,K+,-1.606871564
RbRbGeFFFBr,Na+,-0.562643953
RbRbGeFFFBr,Al3+,4.218807571
RbRbGeFFFBr,Ca2+,-2.100872151
RbRbGeFFFBr,Mg2+,-0.293297511
RbRbGeFFFBr,F-,-6.158686866
KKSnBrBrICl,Li+,-3.148491685
KKSnBrBrICl,Zn2+,1.790386487
KKSnBrBrICl,K+,-2.474639775
KKSnBrBrICl,Na+,-1.895447727
KKSnBrBrICl,Al3+,0.934753207
KKSnBrBrICl,Ca2+,-4.380516795
KKSnBrBrICl,Mg2+,0.098545125
KKSnBrBrICl,F-,-4.219186876
CsCsPbIIICl,Li+,-4.094517796
CsCsPbIIICl,Zn2+,-0.260479226
CsCsPbIIICl,K+,-3.542886016
