,photo_A1,photo_A2,photo_B,photo_X1,photo_X2,photo_X3,photo_X4
163,0.21369803,0.21369803,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
164,0.21369803,0.21369803,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
165,0.21369803,0.21369803,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
166,0.21369803,0.21369803,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
167,0.21369803,0.21369803,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
168,0.24808288,0.24808288,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
169,0.24808288,0.24808288,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
170,0.24808288,0.24808288,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
171,0.24808288,0.24808288,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
172,0.24808288,0.24808288,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
173,0.24808288,0.24808288,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
174,0.24808288,0.24808288,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
175,0.24808288,0.24808288,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
176,0.24078286,0.24078286,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
177,0.24078286,0.24078286,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
178,0.24078286,0.24078286,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
179,0.24078286,0.24078286,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
180,0.24078286,0.24078286,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
181,0.24078286,0.24078286,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
182,0.24078286,0.24078286,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
183,0.24078286,0.24078286,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
184,0.30728492,0.30728492,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
185,0.30728492,0.30728492,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
186,0.30728492,0.30728492,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
187,0.30728492,0.30728492,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
188,0.30728492,0.30728492,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
189,0.30728492,0.30728492,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
190,0.30728492,0.30728492,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
191,0.30728492,0.30728492,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
192,0.32346746,0.32346746,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
193,0.32346746,0.32346746,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
194,0.32346746,0.32346746,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
195,0.32346746,0.32346746,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
196,0.32346746,0.32346746,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
197,0.32346746,0.32346746,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
198,0.32346746,0.32346746,0.15193579,0.14601703,0.14601703,0.14601703,0.14601703
